Name,Season,ID,SP_ERA,predicted_ERA,ERA_dif
Zack Greinke,2021,425844,4.108687351,3.688889027,0.419798324
Adam Wainwright,2021,425794,3.053316836,2.535685301,0.517631535
Lance Lynn,2021,458681,2.694267516,2.49952817,0.194739346
Max Scherzer,2021,453286,2.459108295,2.285414696,0.173693599
Jake Arrieta,2021,453562,7.388518703,6.644628525,0.743890178
Charlie Morton,2021,450203,3.344697631,2.625936508,0.718761123
Jake Odorizzi,2021,543606,4.380780204,3.640085697,0.740694507
Johnny Cueto,2021,456501,4.086065531,3.829071999,0.256993532
Jordan Lyles,2021,543475,5.389221557,5.174100876,0.215120681
Nathan Eovaldi,2021,543135,3.751378126,2.953516722,0.797861404
Garrett Richards,2021,572070,5.22055957,4.843724728,0.376834842
Kyle Gibson,2021,502043,3.495308868,2.774916887,0.720391981
Zack Wheeler,2021,554430,2.784379448,2.404089689,0.380289759
Mike Foltynewicz,2021,592314,5.538461538,5.151404381,0.387057157
Merrill Kelly,2021,518876,4.443037975,4.09209156,0.350946415
Vince Velasquez,2021,592826,6.269663056,5.992577076,0.27708598
Jameson Taillon,2021,592791,4.302550574,3.630659342,0.671891232
Taijuan Walker,2021,592836,4.431975229,4.284097195,0.147878034
Kyle Hendricks,2021,543294,4.773480663,4.610342503,0.16313816
Chris Bassitt,2021,605135,3.146193255,2.417954445,0.72823881
Adrian Houser,2021,605288,3.325131526,3.266813517,0.058318009
Sonny Gray,2021,543243,4.189665722,3.281510115,0.908155607
Joe Musgrove,2021,605397,3.266546956,2.728024006,0.53852295
Anthony DeSclafani,2021,543101,3.166991575,2.683660746,0.483330829
Gerrit Cole,2021,543037,3.226109004,2.915663481,0.310445523
Zach Davies,2021,605200,5.777027027,5.718182087,0.05884494
Marcus Stroman,2021,573186,3.016759777,2.861441851,0.155317926
Alec Mills,2021,621219,4.802015144,4.729579926,0.072435218
Chris Flexen,2021,623167,3.606672194,3.190668344,0.41600385
Michael Wacha,2021,608379,4.527964365,4.309056759,0.218907606
Kevin Gausman,2021,592332,2.8125,2.487839699,0.324660301
Lance McCullers Jr.,2021,621121,3.160170905,2.902662516,0.257508389
José Berríos,2021,621244,3.515619552,2.911909342,0.60371021
Frankie Montas,2021,593423,3.368983957,3.050260544,0.318723413
Jorge López,2021,605347,6.352959851,5.670581341,0.68237851
Jon Gray,2021,592351,4.590604027,4.252091885,0.338512142
Germán Márquez,2021,608566,4.4,3.291992903,1.108007097
Nick Pivetta,2021,601713,4.558441558,3.926794529,0.631647029
Lucas Giolito,2021,608337,3.526112677,2.925120831,0.600991846
Antonio Senzatela,2021,622608,4.423394634,3.998541355,0.424853279
Luis Castillo,2021,622491,3.980454584,3.512926579,0.467528005
Aaron Nola,2021,605400,4.63283259,3.783035278,0.849797312
Brandon Woodruff,2021,605540,2.559484418,2.387937307,0.171547111
Tyler Mahle,2021,641816,3.75,3.169399738,0.580600262
Pablo López,2021,641154,3.068171862,2.962005615,0.106166247
JT Brubaker,2021,664141,5.356582718,4.857561111,0.499021607
Mitch Keller,2021,656605,6.168853757,5.509810925,0.659042832
Adbert Alzolay,2021,640470,5.163025581,4.502178669,0.660846912
Logan Webb,2021,657277,3.054305707,2.47326827,0.581037437
Triston McKenzie,2021,663474,5.028667696,4.073549747,0.955117949
James Kaprielian,2021,621076,3.799412567,3.347307205,0.452105362
José Urquidy,2021,664353,3.61682243,2.775580168,0.841242262
Dylan Cease,2021,656302,3.911460767,3.327576637,0.58388413
Freddy Peralta,2021,642547,2.845440068,2.416867495,0.428572573
Sandy Alcantara,2021,645261,3.194484172,2.842177391,0.352306781
Vladimir Gutierrez,2021,661269,4.736842105,4.46823597,0.268606135
Zac Gallen,2021,668678,4.302209615,4.085352421,0.216857194
Cal Quantrill,2021,615698,3.123966942,3.057833672,0.06613327
Corbin Burnes,2021,669203,2.425149701,2.07954216,0.345607541
Walker Buehler,2021,621111,2.470300922,2.401098251,0.069202671
Aaron Civale,2021,650644,3.836471406,3.157873154,0.678598252
Shohei Ohtani,2021,660271,3.176478894,2.784243584,0.39223531
Wil Crowe,2021,640444,5.431034483,5.265910149,0.165124334
Ian Anderson,2021,666120,3.576632874,3.35119772,0.225435154
Zach Plesac,2021,668676,4.668213148,4.2500844,0.418128748
Chris Paddack,2021,663978,5.078385817,4.943967819,0.134417998
Casey Mize,2021,663554,3.711760077,3.1553967,0.556363377
Bailey Ober,2021,641927,4.191337356,3.607557535,0.583779821
Logan Gilbert,2021,669302,4.675990708,3.969967604,0.706023104
Luis Garcia,2021,677651,3.555811686,3.032277822,0.523533864
Alek Manoah,2021,666201,3.223870979,2.686216831,0.537654148
Zack Greinke,2022,425844,3.678832117,3.266191959,0.412640158
Adam Wainwright,2022,425794,3.709558622,3.154310942,0.55524768
Corey Kluber,2022,446372,4.335365854,3.669255495,0.666110359
Max Scherzer,2022,453286,2.291289776,2.227149487,0.064140289
Charlie Morton,2022,450203,4.343023256,4.084051132,0.258972124
Chris Archer,2022,502042,4.558426766,4.240832329,0.317594437
Jake Odorizzi,2022,543606,4.401255234,4.380236626,0.021018608
Alex Cobb,2022,502171,3.728276589,3.364928484,0.363348105
Carlos Carrasco,2022,471911,3.967105263,3.867241621,0.099863642
Johnny Cueto,2022,456501,3.286963827,3.245834827,0.041129
Jordan Lyles,2022,543475,4.424581006,4.35787344,0.066707566
Nathan Eovaldi,2022,543135,3.868914228,3.778222322,0.090691906
Miles Mikolas,2022,571945,3.295992257,2.636272192,0.659720065
Kyle Gibson,2022,502043,5.045715391,4.886598587,0.159116804
Zack Wheeler,2022,554430,2.823529412,2.618256807,0.205272605
Merrill Kelly,2022,518876,3.369390091,2.909229755,0.460160336
Jameson Taillon,2022,592791,3.907902247,3.215619802,0.692282445
Noah Syndergaard,2022,592789,4.002511604,3.55878973,0.443721874
Taijuan Walker,2022,592836,3.489414338,2.926331282,0.563083056
Chris Bassitt,2022,605135,3.418342212,3.0170331,0.401309112
Sonny Gray,2022,543243,3.083556875,2.831283808,0.252273067
Mike Clevinger,2022,605182,4.246303395,3.800293922,0.446009473
Dylan Bundy,2022,605164,4.885714286,4.35060358,0.535110706
Joe Musgrove,2022,605397,2.933701657,2.474210501,0.459491156
Yu Darvish,2022,506433,3.097597317,2.621263027,0.47633429
Gerrit Cole,2022,543037,3.498332929,2.920129061,0.578203868
Zach Davies,2022,605200,4.086859003,3.845314264,0.241544739
Ross Stripling,2022,548389,2.918926804,2.63684392,0.282082884
Chris Flexen,2022,623167,4.016528926,3.583748579,0.432780347
Michael Wacha,2022,608379,3.32199822,2.898631573,0.423366647
Kevin Gausman,2022,592332,3.349230107,3.009857893,0.339372214
José Berríos,2022,621244,5.23255814,4.560578823,0.671979317
Paul Blackburn,2022,621112,4.284443958,3.997615814,0.286828144
Germán Márquez,2022,608566,4.954119147,4.835464954,0.118654193
Nick Pivetta,2022,601713,4.558432912,4.152750969,0.405681943
Luis Castillo,2022,622491,2.993348824,2.60945034,0.383898484
Brad Keller,2022,641745,4.929168737,4.816878319,0.112290418
Zach Thompson,2022,605507,5.188941974,5.050210476,0.138731498
Aaron Nola,2022,605400,3.248780488,2.76982379,0.478956698
Brandon Woodruff,2022,605540,3.052180696,2.573308468,0.478872228
Tyler Mahle,2022,641816,4.400565865,3.53155756,0.869008305
Pablo López,2022,641154,3.75,3.066102028,0.683897972
Michael Kopech,2022,656629,3.544702633,3.145903587,0.398799046
Erick Fedde,2022,607200,5.811023622,5.807359695,0.003663927
JT Brubaker,2022,664141,4.6875,4.59848547,0.08901453
Mitch Keller,2022,656605,3.941176471,3.932627201,0.00854927
Cristian Javier,2022,664299,2.679907543,2.454842329,0.225065214
Triston McKenzie,2022,663474,2.915049522,2.750828028,0.164221494
James Kaprielian,2022,621076,4.231343284,4.070568562,0.160774722
José Urquidy,2022,664353,3.880911638,3.106228352,0.774683286
Sandy Alcantara,2022,645261,2.282795432,2.138476372,0.14431906
Dakota Hudson,2022,641712,4.543891109,4.194900036,0.348991073
Cal Quantrill,2022,615698,3.381043751,3.233317614,0.147726137
Dean Kremer,2022,665152,3.225,3.136619568,0.088380432
Corbin Burnes,2022,669203,2.940594059,2.585430145,0.355163914
Dane Dunning,2022,641540,4.460879479,4.369005203,0.091874276
Shane Bieber,2022,669456,2.88,2.632141113,0.247858887
